thumb,index,middle,ring,pinky,top_finger,bottom_finger
"0.837689,0.975366,-0.037663;0.793441,0.902299,-0.057237;0.777716,0.822570,-0.070550;0.764492,0.753828,-0.083141","0.860354,0.803098,-0.045728;0.878990,0.708029,-0.069402;0.888509,0.649237,-0.086948;0.896186,0.599038,-0.098241","0.909478,0.793591,-0.040477;0.926538,0.693500,-0.058358;0.929677,0.624783,-0.072084;0.930425,0.569449,-0.083468","0.947811,0.799394,-0.038339;0.960527,0.701163,-0.056361;0.962150,0.633845,-0.063297;0.962109,0.579551,-0.067693","0.976790,0.814554,-0.038983;0.986983,0.729931,-0.054439;0.990156,0.672064,-0.056613;0.990686,0.626775,-0.057194",index2,ring4
"0.696672,0.793142,-0.018557;0.662356,0.709155,-0.022414;0.659605,0.632866,-0.025615;0.650533,0.568114,-0.027801","0.703650,0.623903,0.004291;0.695514,0.547591,-0.004504;0.698617,0.502852,-0.013845;0.703678,0.463199,-0.021487","0.743951,0.619385,0.001118;0.760361,0.538015,-0.006271;0.774749,0.494026,-0.016058;0.785599,0.455333,-0.023313","0.775585,0.630504,-0.006952;0.785628,0.550470,-0.020094;0.792682,0.498718,-0.030043;0.797621,0.450875,-0.036492","0.803446,0.649779,-0.017077;0.805024,0.577943,-0.029173;0.806970,0.537245,-0.033275;0.808315,0.500948,-0.035944",pinky5,ring4
"0.706835,0.790353,-0.020553;0.669751,0.709569,-0.025611;0.664140,0.634695,-0.029421;0.655009,0.573227,-0.031826","0.711666,0.618397,0.000124;0.706673,0.543957,-0.011417;0.711886,0.497969,-0.023634;0.719285,0.459302,-0.032782","0.750435,0.609067,-0.001241;0.762546,0.521344,-0.008719;0.774402,0.465817,-0.019101;0.785166,0.422709,-0.026921","0.783813,0.619077,-0.007294;0.793958,0.534784,-0.017672;0.800547,0.482326,-0.025907;0.806316,0.437439,-0.031902","0.815928,0.643345,-0.015880;0.830068,0.580732,-0.025544;0.837160,0.539030,-0.029003;0.842201,0.501594,-0.031387",ring4,middle3
"0.699988,0.779571,-0.013786;0.660826,0.714883,-0.019012;0.652345,0.647482,-0.024895;0.676246,0.605009,-0.028247","0.694946,0.650803,0.007905;0.683367,0.595918,-0.012220;0.673734,0.578789,-0.029053;0.667330,0.580868,-0.037376","0.724592,0.633365,0.005000;0.715789,0.553256,-0.005912;0.708977,0.501185,-0.016189;0.703329,0.460234,-0.021829","0.755702,0.635399,-0.002910;0.751918,0.565027,-0.015564;0.748070,0.521789,-0.022595;0.743621,0.487143,-0.025304","0.789847,0.651894,-0.012680;0.796366,0.600686,-0.020915;0.797944,0.570411,-0.021722;0.796956,0.543874,-0.020844",index2,thumb1
"0.717596,0.779209,-0.011625;0.693791,0.688370,-0.014613;0.699415,0.610095,-0.019921;0.732047,0.562985,-0.023860","0.717860,0.628932,0.022662;0.710588,0.546944,0.017753;0.709487,0.494525,0.010133;0.712521,0.448273,0.002101","0.749053,0.623799,0.018012;0.743215,0.549499,0.002465;0.734972,0.548080,-0.009406;0.729311,0.561939,-0.011717","0.782376,0.629090,0.009139;0.784986,0.548008,0.001341;0.783356,0.492929,-0.005940;0.782413,0.449836,-0.010360","0.817640,0.647486,-0.002007;0.831746,0.596024,-0.001308;0.840099,0.560297,-0.000957;0.846772,0.531999,-0.002058",middle3,thumb1
"0.694866,0.800243,-0.014633;0.666882,0.711376,-0.016008;0.671036,0.633552,-0.018312;0.672192,0.570676,-0.020376","0.688622,0.644176,0.014635;0.683860,0.576034,0.005912;0.679806,0.529474,-0.006336;0.676053,0.487805,-0.016511","0.715354,0.634234,0.011280;0.713961,0.557882,0.003962;0.710470,0.502327,-0.010010;0.707417,0.451639,-0.020840","0.739925,0.638416,0.003273;0.733677,0.562019,-0.007505;0.724291,0.508465,-0.019679;0.715191,0.461425,-0.028122","0.765065,0.649217,-0.007025;0.749045,0.585388,-0.018582;0.733402,0.547467,-0.025325;0.718107,0.516229,-0.029936",pinky5,index2
"0.721981,0.779074,-0.015226;0.697245,0.693338,-0.017328;0.714400,0.624645,-0.019346;0.751408,0.598747,-0.022511","0.709647,0.625370,-0.001270;0.698668,0.541703,-0.008316;0.695105,0.489476,-0.016091;0.690947,0.444850,-0.024636","0.744738,0.619259,-0.006575;0.746980,0.532668,-0.011456;0.747785,0.481383,-0.020778;0.745538,0.441032,-0.029537","0.776905,0.630749,-0.015117;0.782313,0.541508,-0.029952;0.775795,0.488708,-0.046297;0.768677,0.447281,-0.059407","0.806751,0.656121,-0.024779;0.789744,0.607388,-0.045682;0.770271,0.618431,-0.053786;0.755168,0.638758,-0.059630",thumb1,pinky5
"0.718243,0.773263,-0.014507;0.683757,0.694900,-0.021290;0.665212,0.623516,-0.029938;0.679876,0.568159,-0.035827","0.723572,0.643342,0.012237;0.712999,0.579560,-0.012605;0.700541,0.591270,-0.034527;0.692316,0.612312,-0.045426","0.753227,0.632724,0.009682;0.749651,0.548208,-0.000556;0.744686,0.497124,-0.012220;0.741283,0.453471,-0.019909","0.785632,0.640215,0.000921;0.786147,0.565008,-0.009679;0.784254,0.522614,-0.016493;0.781012,0.485922,-0.019740","0.817770,0.661638,-0.010122;0.827289,0.607796,-0.015632;0.831353,0.576200,-0.014686;0.832878,0.547604,-0.013056",index2,pinky5
"0.701726,0.786934,-0.019501;0.674549,0.693263,-0.024201;0.678236,0.617107,-0.028375;0.678548,0.551828,-0.030584","0.729853,0.603857,0.003949;0.750668,0.527418,-0.005871;0.768279,0.481946,-0.016085;0.785021,0.446906,-0.023500","0.761603,0.607579,0.002349;0.775845,0.522307,-0.002960;0.790974,0.467628,-0.008943;0.803504,0.428308,-0.012300","0.792279,0.628978,-0.004525;0.793657,0.545907,-0.014140;0.798017,0.491533,-0.019555;0.802351,0.447695,-0.022613","0.825742,0.663977,-0.014271;0.831667,0.605011,-0.025026;0.831206,0.566294,-0.028338;0.829284,0.534103,-0.029572",ring4,index2
"0.699837,0.791397,-0.021877;0.667676,0.706112,-0.028684;0.664417,0.629065,-0.034440;0.659929,0.562260,-0.038503","0.714129,0.609548,-0.003552;0.722660,0.525511,-0.017314;0.732253,0.472084,-0.031037;0.742719,0.429204,-0.040677","0.748473,0.605891,-0.005661;0.748319,0.509182,-0.013917;0.751511,0.446739,-0.024680;0.754250,0.398419,-0.032365","0.783925,0.621156,-0.012432;0.790860,0.533201,-0.023866;0.794808,0.480421,-0.032917;0.796153,0.436901,-0.039253","0.821419,0.651960,-0.021972;0.841214,0.590007,-0.033341;0.852294,0.552431,-0.037712;0.860399,0.519576,-0.040196",index2,middle3
